ID,TRIAL,TRAINING,CORRECT,CONGRUENT,LATENCY
03K12,1,True,1,False,1.7808784999997442
03K12,1,False,1,False,1.5338426999996955
03K12,2,False,1,False,1.4476137000001472
03K12,3,False,1,False,1.5529173999993873
03K12,4,False,1,False,1.929457100000036
