PART_ID,TRIAL,TRAINING,CORRECT,CONGRUENT,LATENCY
REME,1,1,0,0,1.175471499998821
REME,2,1,0,1,0.025106100016273558
REME,0,0,1,0,0.47117239999352023
REME,1,0,0,1,0.12029770002118312
REME,2,0,1,1,0.15255950001301244
REME,0,0,0,1,0.25757079999311827
REME,1,0,1,0,0.009673199994722381
REME,2,0,0,0,0.38253920001443475
